printed_page,pdf_page,chapter,in_scope
1,16,ch1,in
2,17,ch1,in
3,18,ch1,in
4,19,ch1,in
5,20,ch1,in
6,21,ch1,in
7,22,ch1,in
8,23,ch1,in
9,24,ch2,in
10,25,ch2,in
11,26,ch2,in
12,27,ch2,in
13,28,ch2,in
14,29,ch2,in
15,30,ch2,in
16,31,ch2,in
17,32,ch2,in
18,33,ch2,in
19,34,ch2,in
20,35,ch2,in
21,36,ch2,in
22,37,ch2,in
23,38,ch2,in
24,39,ch2,in
25,40,ch2,in
26,41,ch2,in
27,42,ch2,in
28,43,ch2,in
29,44,ch3,in
30,45,ch3,in
31,46,ch3,in
32,47,ch3,in
33,48,ch3,in
34,49,ch3,in
35,50,ch3,in
36,51,ch3,in
37,52,ch3,in
38,53,ch3,in
39,54,ch4,in
40,55,ch4,in
41,56,ch4,in
42,57,ch4,in
43,58,ch4,in
44,59,ch4,in
45,60,ch4,in
46,61,ch4,in
47,62,ch4,in
48,63,ch4,in
49,64,ch4,in
50,65,ch4,in
51,66,ch4,in
52,67,ch4,in
53,68,ch4,in
54,69,ch4,in
55,70,ch4,in
56,71,ch4,in
57,72,ch4,in
58,73,ch4,in
59,74,ch4,in
60,75,ch4,in
61,76,ch4,in
62,77,ch4,in
63,78,ch4,in
64,79,ch4,in
65,80,ch4,in
66,81,ch4,in
67,82,ch4,in
68,83,ch4,in
69,84,ch4,in
70,85,ch4,in
71,86,ch4,in
72,87,ch4,in
73,88,ch4,in
74,89,ch4,in
75,90,ch5,in
76,91,ch5,in
77,92,ch5,in
78,93,ch5,in
79,94,ch5,in
80,95,ch5,in
81,96,ch5,in
82,97,ch5,in
83,98,ch5,in
84,99,ch5,in
85,100,ch5,in
86,101,ch5,in
87,102,ch5,in
88,103,ch5,in
89,104,ch5,in
90,105,ch5,in
91,106,ch5,in
92,107,ch5,in
93,108,ch5,in
94,109,ch5,in
95,110,ch5,in
96,111,ch5,in
97,112,ch5,in
98,113,ch5,in
99,114,ch5,in
100,115,ch5,in
101,116,ch5,in
102,117,ch5,in
103,118,ch6,in
104,119,ch6,in
105,120,ch6,in
106,121,ch6,in
107,122,ch6,in
108,123,ch6,in
109,124,ch6,in
110,125,ch6,in
111,126,ch6,in
112,127,ch6,in
113,128,ch6,in
114,129,ch6,in
115,130,ch6,in
116,131,ch6,in
117,132,ch6,in
118,133,ch6,in
119,134,ch6,in
120,135,ch6,in
121,136,ch6,in
122,137,ch6,in
123,138,ch6,in
124,139,ch6,in
125,140,ch6,in
126,141,ch6,in
127,142,ch6,in
128,143,ch6,in
129,144,ch6,in
130,145,ch6,in
131,146,ch6,in
132,147,ch6,in
133,148,ch6,in
134,149,ch6,in
135,150,ch6,in
136,151,ch6,in
137,152,ch6,in
138,153,ch6,in
139,154,ch6,in
140,155,ch6,in
141,156,ch6,in
142,157,ch6,in
143,158,ch6,in
144,159,ch6,in
145,160,ch6,in
146,161,ch6,in
147,162,ch6,in
148,163,ch6,in
149,164,ch6,in
150,165,ch6,in
151,166,ch6,in
152,167,ch6,in
153,168,ch6,in
154,169,ch6,in
155,170,ch6,in
156,171,ch6,in
157,172,ch6,in
158,173,ch6,in
159,174,ch6,in
160,175,ch6,in
161,176,ch6,in
162,177,ch6,in
163,178,ch6,in
164,179,ch6,in
165,180,ch6,in
166,181,ch6,in
167,182,ch6,in
168,183,ch6,in
169,184,ch6,in
170,185,ch6,in
171,186,ch6,in
172,187,ch6,in
173,188,ch6,in
174,189,ch6,in
175,190,ch6,in
176,191,ch6,in
177,192,ch6,in
178,193,ch6,in
179,194,ch6,in
180,195,ch6,in
181,196,ch6,in
182,197,ch6,in
183,198,ch7,in
184,199,ch7,in
185,200,ch7,in
186,201,ch7,in
187,202,ch7,in
188,203,ch7,in
189,204,ch7,in
190,205,ch7,in
191,206,ch7,in
192,207,ch7,in
193,208,ch7,in
194,209,ch7,in
195,210,ch7,in
196,211,ch7,in
197,212,ch7,in
198,213,ch7,in
199,214,ch7,in
200,215,ch7,in
201,216,ch7,in
202,217,ch7,in
203,218,ch7,in
204,219,ch7,in
205,220,ch7,in
206,221,ch7,in
207,222,ch7,in
208,223,ch7,in
209,224,ch7,in
210,225,ch7,in
211,226,ch7,in
212,227,ch7,in
213,228,ch7,in
214,229,ch7,in
215,230,ch7,in
216,231,ch7,in
217,232,ch7,in
218,233,ch7,in
219,234,ch7,in
220,235,ch7,in
221,236,ch7,in
222,237,ch7,in
223,238,ch7,in
224,239,ch7,in
225,240,ch7,in
226,241,ch7,in
227,242,ch7,in
228,243,ch7,in
229,244,ch7,in
230,245,ch7,in
231,246,ch7,in
232,247,ch7,in
233,248,ch7,in
234,249,ch7,in
235,250,ch8,in
236,251,ch8,in
237,252,ch8,in
238,253,ch8,in
239,254,ch8,in
240,255,ch8,in
241,256,ch8,in
242,257,ch8,in
243,258,ch8,in
244,259,ch8,in
245,260,ch8,out
246,261,ch8,out
247,262,ch8,out
248,263,ch8,out
249,264,ch8,out
250,265,ch8,out
251,266,ch8,out
